date,open,high,low,close,volume
1996-07-01,2074.915,2076.298,1938.814,1966.677,0
1996-07-02,1959.986,1991.906,1937.189,1956.455,0
1996-07-03,1986.712,2109.985,1986.369,2109.453,0
1996-07-04,2130.46,2193.267,2125.186,2192.195,618188500
1996-07-05,2210.115,2231.827,2167.971,2175.144,713511700
1996-07-08,2229.433,2337.842,2216.202,2336.558,727434700
1996-07-09,2379.518,2438.945,2345.679,2411.223,767306400
1996-07-10,2427.756,2427.956,2329.744,2385.778,657426200
1996-07-11,2380.437,2381.194,2259.445,2265.946,539523000
1996-07-12,2229.245,2309.263,2214.542,2308.743,380190500
1996-07-15,2292.754,2295.7,2218.856,2250.732,366584000
1996-07-16,2293.215,2363.684,2268.07,2355.053,568110200
1996-07-17,2371.368,2373.38,2269.22,2272.391,719264700
1996-07-18,2268.985,2309.097,2268.985,2300.828,381463500
1996-07-19,2314.035,2348.165,2277.952,2324.867,860225700
1996-07-22,2343.353,2400.634,2332.483,2372.091,1082827000
1996-07-23,2389.238,2420.289,2377.54,2389.651,684744700
1996-07-24,2408.266,2482.761,2408.266,2454.996,776747000
1996-07-25,2449.742,2456.995,2380.66,2385.54,822468900
1996-07-26,2383.455,2400.681,2292.295,2311.17,653036400
1996-07-29,2311.17,2326.474,2275.943,2322.008,416855800
1996-07-30,2341.996,2352.705,2263.115,2266.554,409372700
1996-07-31,2263.403,2278.176,2202.638,2205.644,356860200
1996-08-01,2202.223,2238.546,2177.067,2213.399,371330400
1996-08-02,2247.017,2305.588,2221.486,2251.535,391827200
1996-08-05,2273.063,2279.388,2245.921,2277.885,325265800
1996-08-06,2276.537,2313.99,2264.313,2310.28,376433100
1996-08-07,2322.344,2340.873,2310.499,2319.264,511448200
1996-08-08,2325.887,2333.813,2302.181,2316.323,446744900
1996-08-09,2316.32,2316.32,2246.61,2280.2,543428800
1996-08-12,2291.67,2331.511,2288.774,2301.145,529240600
1996-08-13,2306.307,2311.076,2281.718,2286.045,338046300
1996-08-14,2289.82,2320.677,2281.81,2298.859,306699800
1996-08-15,2298.859,2340.669,2296.47,2297.361,370310300
1996-08-16,2287.988,2289.226,2217.646,2257.26,392755900
1996-08-19,2257.26,2257.26,2191.33,2193.72,253243000
1996-08-20,2183.149,2197.214,2137.594,2139.74,271578000
1996-08-21,2148.083,2210.788,2147.961,2176.517,353354900
1996-08-22,2190.908,2203.118,2124.172,2132.068,300231100
1996-08-23,2152.198,2153.469,2039.196,2112.968,350852700
1996-08-26,2049.083,2122.254,2045.899,2053.521,294132200
1996-08-27,2042.033,2100.075,2032.189,2098.88,259649100
